top - 23:30:41 up  7:42,  1 user,  load average: 0.40, 0.45, 0.43
Tasks: 350 total,   1 running, 348 sleeping,   0 stopped,   1 zombie
%Cpu(s):  2.5 us,  2.0 sy,  0.5 ni, 95.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15736.3 total,   9436.6 free,   2759.0 used,   3540.7 buff/cache
MiB Swap:   9537.0 total,   9537.0 free,      0.0 used.  11643.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    814 systemd+  20   0   90916   5988   5200 S   0.0   0.0   0:00.08 systemd+
    827 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 USBC000+
    842 root      20   0  246896   7572   6628 S   0.0   0.0   0:00.65 account+
    843 root      20   0    2548    704    636 S   0.0   0.0   0:01.01 acpid
    848 avahi     20   0    8536   3416   3088 S   0.0   0.0   0:00.05 avahi-d+
    850 root      20   0   18056   3000   2732 S   0.0   0.0   0:00.04 cron
    851 root      20   0   37200   8924   7188 S   0.0   0.1   0:00.01 cupsd
    853 message+  20   0    9928   6380   3840 S   0.0   0.0   0:02.00 dbus-da+
    854 root      20   0  345124  20604  16652 S   0.0   0.1   0:13.34 Network+
    859 root      20   0   81976   3612   3320 S   0.0   0.0   0:02.04 irqbala+
    861 root      20   0   48324  20692  11992 S   0.0   0.1   0:00.05 network+
    867 root      20   0  235148  12028   6792 S   0.0   0.1   0:01.17 polkitd
    872 syslog    20   0  224352   4812   3780 S   0.0   0.0   0:00.38 rsyslogd
    882 root      20   0 1762284  36496  19404 S   0.0   0.2   0:02.91 snapd
    884 root      20   0  244344   6360   5696 S   0.0   0.0   0:00.04 switche+
    886 root      20   0   17464   8172   7052 S   0.0   0.1   0:00.16 systemd+
    887 root      20   0  282404   9452   8596 S   0.0   0.1   0:55.36 thermald
    888 root      20   0  393788  12788  10308 S   0.0   0.1   0:00.06 udisksd
    889 root      20   0   13960   8936   7992 S   0.0   0.1   0:00.16 wpa_sup+
    926 avahi     20   0    8348    328      0 S   0.0   0.0   0:00.00 avahi-d+
